Ticker,Rank,Price,Market Cap,High,Year Price Change,Year % Price Change,Year Market Cap Change,Year % Market Cap Change
BTC,1,57915.77287702,1093370505225.0,67602.93030844,39499.87052787,2.1449,39499.87052787,2.1449
ETH,2,4248.95349951,503158215190.0,4811.20029542,3689.21257599,6.5909,3689.21257599,6.5909
BNB,3,580.91035143,97672544613.0,677.12634098,550.88503609,18.3474,550.88503609,18.3474
USDT,4,1.00167384,74061704902.0,1.09097429,-2.7178092e-05,-0.0,-2.7178092e-05,-0.0
SOL,5,209.74500965,63687503710.0,259.03790999,207.59122481,96.3844,207.59122481,96.3844
ADA,6,1.88966401,60594704529.0,2.96776063,1.74379578,11.9546,1.74379578,11.9546
XRP,7,1.07384872,50641604724.0,2.7578968,0.62760335,1.4064,0.62760335,1.4064
DOT,8,40.36983006,42695408671.0,368.57140373,34.85938099,6.3261,34.85938099,6.3261
USDC,9,1.00134402,34504403281.0,1.0299504,0.0027333148,0.0027,0.0027333148,0.0027
DOGE,10,0.2283739,30189898334.0,0.68872521,0.22503657,67.43,0.22503657,67.43
SHIB,11,4.6822051e-05,27612690147.0,7.9566269e-05,4.6809141e-05,3625.9718,4.6809141e-05,3625.9718
AVAX,12,121.47038801,26758296007.0,121.47038801,117.56545459,30.1069,117.56545459,30.1069
HEX,13,0.19127789,26248022871.0,0.48698771,0.1871368,45.1902,0.1871368,45.1902
LUNA,14,42.00607791,16864269184.0,54.18779012,41.65734856,119.4547,41.65734856,119.4547
LTC,15,216.12110025,14915680559.0,388.77257188,133.27782724,1.6088,133.27782724,1.6088
WBTC,16,56528.9777463,13865407398.0,67663.51349949,38152.56276278,2.0762,38152.56276278,2.0762
CRO,17,0.54456959,13757468930.0,0.56896803,0.47356839,6.6699,0.47356839,6.6699
BUSD,18,1.00115588,13154197336.0,1.01228952,0.0014516934,0.0015,0.0014516934,0.0015
LINK,19,27.62438354,12900851034.0,52.36456355,13.11148525,0.9034,13.11148525,0.9034
ALGO,20,1.78329899,11970829839.0,2.93129237,1.48487128,4.9756,1.48487128,4.9756
MATIC,21,1.5814365,11004715231.0,2.44698467,1.56234416,81.831,1.56234416,81.831
FTXTOKEN,22,51.60802825,10931367139.0,79.67631605,47.52644806,11.6441,47.52644806,11.6441
BCH,23,570.36252651,10783106323.0,3716.82625004,283.07761949,0.9854,283.07761949,0.9854
UNI,24,21.20178371,9635958380.0,43.21676758,17.51561471,4.7517,17.51561471,4.7517
VET,25,0.13461521,8987010975.0,0.2545613,0.12067909,8.6594,0.12067909,8.6594
DAI,26,1.00123812,8638926653.0,1.15262397,0.00081010495,0.0008,0.00081010495,0.0008
AXS2,27,128.15983259,8436073234.0,160.73584391,127.73027936,297.3561,127.73027936,297.3561
XLM,28,0.34013865,8264584527.0,0.89946009,0.23586874,2.2621,0.23586874,2.2621
ATOM,29,28.33821544,8009864948.0,44.46430573,22.8578959,4.1709,22.8578959,4.1709
ICP,30,41.7601995,7614246396.0,455.08009907,-3.35727369,-0.0744,-3.35727369,-0.0744
TRX,31,0.1027096,7360192644.0,0.20710469,0.073915638,2.5671,0.073915638,2.5671
EGLD,32,359.31445791,7221884286.0,359.31445791,351.28091231,43.7268,351.28091231,43.7268
UST,33,1.00315147,7106239118.0,1.04205248,0.0021612698,0.0022,0.0021612698,0.0022
CETH,34,85.10029028,7005225526.0,96.49783804,73.8681269,6.5765,73.8681269,6.5765
FIL,35,52.87053686,6529085113.0,190.8430794,23.92089089,0.8263,23.92089089,0.8263
ETC,36,49.72041645,6518981528.0,134.83396616,43.66478333,7.2106,43.66478333,7.2106
THETA,37,6.47768586,6477685857.0,14.33616382,5.82638109,8.9457,5.82638109,8.9457
OKB,38,23.79225438,6307693945.0,42.42042929,17.51559409,2.7906,17.51559409,2.7906
STETH,39,4214.59903695,6270731637.0,4776.07252305,2269.33981274,1.1666,2269.33981274,1.1666
HBAR,40,0.37743273,5806173315.0,0.50520064,0.34345948,10.1097,0.34345948,10.1097
1INCH,41,3.87889636,5742971645.0,7.5045584,2.87889101,2.8789,2.87889101,2.8789
FTM,42,2.12924738,5410742788.0,3.1666962,2.11031146,111.4449,2.11031146,111.4449
NEAR,43,9.42900572,5292104417.0,12.33190254,8.35156932,7.7513,8.35156932,7.7513
MANA,44,3.92274346,5206940404.0,4.2848297,3.83713965,44.8244,3.83713965,44.8244
HELIUM,45,44.8049814,4731609552.0,52.85511337,43.14033443,25.9156,43.14033443,25.9156
CDAI,46,0.021733791,4695187527.0,0.024212211,0.00090323037,0.0434,0.00090323037,0.0434
XTZ,47,5.40907809,4690509333.0,10.34882163,3.12920536,1.3725,3.12920536,1.3725
